Variable,Comparison,U,p_raw,Rank-biserial r,p_adj,Significant
Episode Reward,P0 vs L1,118.0,0.027,-0.410,0.247,No
Episode Reward,P0 vs L2,400.0,< 0.001,1.000,< 0.001,Yes
Episode Reward,P0 vs L3,400.0,< 0.001,1.000,< 0.001,Yes
Episode Reward,P0 vs R1,268.0,0.068,0.340,0.271,No
Episode Reward,P0 vs R2,7.0,< 0.001,-0.965,< 0.001,Yes
Episode Reward,P0 vs R3,124.0,0.041,-0.380,0.252,No
Episode Reward,L1 vs L2,398.0,< 0.001,0.990,< 0.001,Yes
Episode Reward,L1 vs L3,400.0,< 0.001,1.000,< 0.001,Yes
Episode Reward,L1 vs R1,321.0,0.001,0.605,0.012,Yes
Episode Reward,L1 vs R2,138.0,0.096,-0.310,0.289,No
Episode Reward,L1 vs R3,173.0,0.473,-0.135,0.914,No
Episode Reward,L2 vs L3,399.0,< 0.001,0.995,< 0.001,Yes
Episode Reward,L2 vs R1,106.0,0.011,-0.470,0.114,No
Episode Reward,L2 vs R2,0.0,< 0.001,-1.000,< 0.001,Yes
Episode Reward,L2 vs R3,120.0,0.032,-0.400,0.252,No
Episode Reward,L3 vs R1,2.0,< 0.001,-0.990,< 0.001,Yes
Episode Reward,L3 vs R2,0.0,< 0.001,-1.000,< 0.001,Yes
Episode Reward,L3 vs R3,120.0,0.032,-0.400,0.252,No
Episode Reward,R1 vs R2,20.0,< 0.001,-0.900,< 0.001,Yes
Episode Reward,R1 vs R3,127.0,0.050,-0.365,0.252,No
Episode Reward,R2 vs R3,172.0,0.457,-0.140,0.914,No
Episode Duration,P0 vs L1,247.0,0.204,0.235,0.204,No
Episode Duration,P0 vs L2,0.0,< 0.001,-1.000,< 0.001,Yes
Episode Duration,P0 vs L3,0.0,< 0.001,-1.000,< 0.001,Yes
Episode Duration,P0 vs R1,139.0,0.099,-0.305,0.198,No
Episode Duration,P0 vs R2,395.5,< 0.001,0.978,< 0.001,Yes
Episode Duration,P0 vs R3,398.5,< 0.001,0.992,< 0.001,Yes
Episode Duration,L1 vs L2,1.0,< 0.001,-0.995,< 0.001,Yes
Episode Duration,L1 vs L3,0.0,< 0.001,-1.000,< 0.001,Yes
Episode Duration,L1 vs R1,106.0,0.011,-0.470,0.033,Yes
